"Time (s) Run #1","X Magnetic Field Strength (G) Run #1","Y Magnetic Field Strength (G) Run #1","Z Magnetic Field Strength (G) Run #1","|Resultant| Magnetic Field Strength (G) Run #1"
40.400,2.80,-3.75,7.22,8.61
40.500,1.94,-3.48,7.92,8.87
40.600,0.0300,-3.86,7.10,8.08
40.700,-0.0390,-4.91,10.2,11.3
40.800,0.156,-6.73,13.1,14.7
40.900,-0.411,-7.01,10.3,12.5
41.000,0.137,-6.09,11.5,13.1
41.100,2.18,-4.55,16.4,17.2
41.200,5.07,-5.26,31.2,32.1
41.300,6.44,-5.36,45.2,46.0
41.400,4.37,-3.23,48.5,48.8
41.500,-0.00450,-0.657,49.6,49.6
41.600,-0.168,-0.492,49.6,49.6
41.700,-2.05,-10.8,41.4,42.8
41.800,-2.77,-49.2,4.46,49.5
41.900,-5.31,-38.2,18.6,42.8
42.000,-9.36,-41.1,15.8,45.0
42.100,-11.2,-44.3,12.7,47.4
42.200,-10.6,-46.4,10.6,48.8
42.300,-9.62,-47.4,9.69,49.3
42.400,-9.51,-47.5,9.59,49.4
42.500,-7.61,-49.3,7.72,50.5
42.600,-6.82,-49.6,6.95,50.6
42.700,-5.04,-49.6,5.21,50.2
42.800,-3.38,-49.6,3.58,49.9
42.900,-0.168,-49.6,0.437,49.6
43.000,-0.168,-49.6,0.437,49.6
43.100,-0.168,-49.6,0.437,49.6
43.200,-0.168,-49.6,0.437,49.6
43.300,6.01,-42.0,10.7,43.7
43.400,13.9,-14.8,41.3,46.0
43.500,1.24,-9.84,46.1,47.1
43.600,-7.37,-7.77,48.1,49.3
43.700,-7.22,-7.62,48.2,49.4
43.800,-4.66,-5.03,49.4,49.9
43.900,-1.88,-2.22,49.6,49.7
44.000,-0.168,-0.492,49.6,49.6
44.100,-0.168,-0.492,49.6,49.6
44.200,-0.168,-0.492,49.6,49.6
44.300,-0.168,-0.492,49.6,49.6
44.400,-2.98,-3.33,49.6,49.8
44.500,-3.83,-4.19,49.6,49.9
44.600,-4.31,-4.68,49.6,50.0
44.700,-4.51,-4.88,49.6,50.0
44.800,-4.38,-4.75,49.6,50.0
44.900,-4.00,-4.36,49.6,49.9
45.000,-3.22,-3.57,49.6,49.8
45.100,-2.42,-2.76,49.6,49.7
45.200,-2.30,-2.64,49.6,49.7
45.300,-2.73,-3.08,49.4,49.5
